"dates","American Samoa","Guam","Northern Mariana Islands","Puerto Rico","Virgin Islands","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Diamond Princess","Grand Princess"
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,12,0,0,0,0,0,0,0,0,0,1,3,0,0,0,31,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,1,0,8,3,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,4,0,1,0,0,0,1,1,0,0,0,8,1,0,0,0,0,2,0,0,0,0,1,0,0,0,8,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,2,0,22,4,0,0,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,45,0,0,0,1,3,0,1,2,0,0,4,1,0,0,24,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,2,16,0,0,0,1,0,0,2,2,1,0,30,0,0,0,0,8,4,0,0,0,2,3,0,1,2,20,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,5,0,0,0,1,3,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,36,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,2,0,43,7,1,0,0,2,7,2,0,5,3,5,0,1,0,0,3,19,0,0,0,0,0,0,0,0,10,0,8,5,0,3,1,0,5,0,4,0,0,3,1,0,6,45,0,3,0,0,0
2020-03-11,0,0,0,0,0,0,0,3,0,34,16,2,1,0,9,6,-1,0,13,5,5,0,3,5,0,1,51,2,3,0,0,0,2,3,1,8,3,70,0,0,1,0,5,4,2,3,8,6,5,1,0,1,115,0,1,0,0,0
2020-03-12,0,0,0,0,0,0,0,0,0,43,15,2,0,0,6,8,0,0,7,2,1,3,2,14,1,3,15,0,4,1,1,0,5,3,1,6,2,107,8,1,1,1,5,6,-2,-3,-1,9,6,0,1,3,160,0,4,1,0,0
2020-03-13,0,0,0,0,0,5,1,0,9,60,31,6,3,0,20,11,0,1,14,0,3,2,4,10,2,6,16,14,5,5,2,1,4,8,0,20,5,94,2,0,7,0,6,19,9,1,1,8,17,6,0,15,126,0,11,0,0,0
2020-03-14,0,0,0,0,0,2,0,3,3,91,25,12,2,0,26,31,2,1,18,3,0,2,2,48,0,9,15,9,7,0,0,4,4,2,1,20,3,192,8,0,14,1,6,6,8,11,0,6,16,1,3,10,74,0,8,1,0,0
2020-03-15,0,0,0,0,0,4,0,0,-9,1,-2,1,0,0,24,26,2,2,2,4,1,0,2,10,-1,-3,0,7,0,0,1,1,-1,0,0,3,0,2,7,0,4,0,0,0,0,0,0,0,3,8,0,0,-39,0,1,0,0,0
2020-03-16,0,3,0,5,1,18,0,6,0,184,33,17,2,22,1,22,2,0,17,5,5,3,3,28,15,18,49,22,32,6,1,0,1,25,10,104,8,352,7,0,20,6,3,32,1,11,2,20,22,10,7,12,176,0,20,0,0,20
2020-03-17,0,0,0,0,1,10,2,2,0,143,35,27,8,0,89,25,2,4,78,5,0,7,5,81,9,18,30,9,6,9,6,2,5,10,9,74,2,611,25,2,17,7,27,33,2,17,1,22,25,11,0,18,176,0,25,9,47,1
2020-03-18,0,2,0,0,0,12,2,7,1,128,51,28,3,9,116,51,5,1,111,8,15,4,2,61,9,25,35,56,18,13,6,2,1,0,11,147,5,1460,28,3,22,0,9,43,10,13,0,26,86,8,1,12,67,1,38,5,0,0
2020-03-19,0,7,0,0,1,27,3,18,58,177,59,63,11,9,126,90,10,14,150,22,6,13,22,135,17,22,76,140,12,16,21,1,5,40,5,344,7,2666,44,13,30,27,13,51,11,20,3,54,110,15,9,24,352,1,48,2,0,1
2020-03-20,0,2,0,9,0,28,3,23,38,238,86,35,9,31,132,198,11,13,163,26,1,13,14,145,4,42,85,143,24,30,34,9,8,66,11,149,7,2699,53,7,54,5,26,105,10,46,0,69,123,33,7,20,150,6,60,3,2,1
2020-03-21,0,1,0,7,3,25,2,36,22,162,112,0,6,27,199,70,0,6,168,42,24,9,23,226,14,44,110,138,21,60,8,7,1,0,8,437,13,3324,67,2,74,4,23,88,12,48,0,81,153,23,20,34,269,4,63,2,0,0
2020-03-22,0,12,0,2,0,26,5,48,43,241,116,133,11,4,241,66,17,0,296,76,21,8,16,74,19,51,117,495,33,67,19,7,13,29,12,587,2,4073,49,0,109,14,24,110,17,22,7,89,61,44,3,63,204,4,99,3,0,7
2020-03-23,0,2,0,8,1,39,12,83,27,462,113,88,12,18,223,151,3,26,236,66,15,19,20,335,18,46,137,294,67,42,87,0,0,55,28,930,26,5084,48,2,87,14,30,189,23,102,7,221,115,95,23,34,224,0,44,0,0,-2
2020-03-24,0,3,0,8,10,46,4,91,27,430,19,203,36,21,185,254,34,13,252,98,19,16,39,216,11,59,382,464,27,71,70,17,15,33,0,831,17,4797,142,6,124,25,19,248,18,44,2,158,197,41,20,39,107,6,56,3,0,0
2020-03-25,0,5,0,12,0,139,7,75,61,460,298,257,15,46,270,221,1,10,328,109,22,34,35,407,24,76,679,503,25,57,97,14,5,45,7,727,13,5160,95,9,137,58,56,314,8,82,11,144,274,42,30,103,263,17,140,15,0,0
2020-03-26,0,8,0,13,0,136,15,107,55,901,409,137,11,44,675,278,4,55,673,168,33,38,50,509,13,158,579,549,58,108,166,25,3,97,29,2474,0,7036,148,6,164,84,50,535,33,0,5,181,334,56,33,70,616,13,107,9,0,0
2020-03-27,0,6,0,15,2,70,2,157,46,758,3,279,33,40,543,475,11,59,486,334,56,34,54,440,13,192,823,789,52,94,146,19,8,116,21,1949,23,6999,149,17,269,74,100,550,38,118,12,221,374,76,26,141,270,24,198,17,0,0
2020-03-28,0,4,0,21,3,107,27,108,28,438,307,233,51,33,863,366,43,29,467,254,63,60,79,571,43,220,1017,1016,45,84,170,20,14,90,29,2299,72,7534,133,26,269,55,63,500,36,118,10,193,518,130,27,133,553,20,129,12,0,75
2020-03-29,0,1,0,27,1,131,17,146,17,757,567,469,18,38,483,285,0,47,1105,280,38,64,58,225,42,244,698,838,62,96,79,25,12,294,27,2262,29,7238,171,4,247,52,69,587,55,114,22,209,337,118,24,150,435,17,109,4,0,0
2020-03-30,0,2,0,47,7,74,12,238,47,1286,4,578,32,59,1227,157,26,59,460,273,88,42,41,485,22,174,797,1010,73,88,136,17,37,92,100,3250,0,7015,122,11,280,52,58,723,114,151,11,197,355,78,21,130,458,32,66,8,0,0
2020-03-31,0,11,2,65,0,88,5,132,50,1072,655,557,55,94,1268,1121,29,175,938,372,73,62,149,1212,28,247,868,1117,53,90,306,27,27,102,43,2060,78,9170,222,13,266,87,84,808,80,158,7,474,662,90,37,229,509,17,182,15,0,0
2020-04-01,0,8,4,47,0,73,13,124,61,1189,16,429,49,91,215,709,20,51,986,406,50,51,4,1187,0,326,1118,1700,60,136,256,10,38,165,10,3559,12,8115,140,20,348,153,46,1046,78,210,21,542,546,0,28,234,176,29,144,21,0,0
2020-04-02,0,5,0,30,0,173,11,183,59,1374,360,267,25,67,2052,710,32,210,715,474,67,68,138,2725,73,345,1228,1476,53,104,244,33,36,184,112,3335,46,8558,302,17,354,160,90,1259,79,261,36,80,714,198,17,223,781,25,192,20,0,0
2020-04-03,0,2,2,0,7,262,14,173,61,1231,400,1090,57,104,1260,483,63,115,1209,399,85,76,0,1148,56,427,1436,1953,46,181,7,2,33,51,0,4305,117,10481,274,14,411,109,73,1302,66,146,22,54,665,162,51,306,457,21,264,12,0,0
2020-04-04,0,9,0,136,3,119,14,250,39,833,446,362,143,145,1269,329,32,131,1453,516,88,69,147,2199,24,367,1334,1481,77,97,446,22,42,228,61,4229,16,10846,235,13,427,171,0,1874,95,217,25,255,833,180,72,395,401,45,18,25,0,0
2020-04-05,0,19,0,23,2,151,14,250,94,2197,762,399,80,100,813,487,20,56,902,458,82,53,38,514,14,492,764,1493,70,183,37,21,43,113,81,3381,118,9327,163,21,304,93,169,1145,116,132,28,311,642,173,51,233,578,42,290,10,0,0
2020-04-06,0,1,0,38,1,187,5,191,38,985,233,1231,110,95,974,667,16,23,1003,545,77,98,0,1857,29,428,1337,1503,51,100,389,13,53,98,94,3585,62,8655,313,18,410,75,0,1538,160,183,48,169,834,77,31,238,486,21,129,13,0,0
2020-04-07,0,8,0,60,0,217,23,115,71,1332,246,875,145,114,1221,1508,23,69,1291,554,100,63,194,1417,20,326,1365,1749,83,177,394,20,30,171,0,3326,108,8060,337,12,329,145,64,1726,147,185,32,337,882,61,32,457,381,67,129,6,0,0
2020-04-08,0,0,3,47,2,159,13,151,54,1546,226,0,188,229,911,1079,0,40,1525,433,99,134,0,746,18,1158,1588,1376,85,88,79,13,72,135,32,3021,27,11186,200,14,366,52,49,1778,221,0,73,224,852,109,30,310,584,71,132,5,0,0
2020-04-09,0,7,0,63,0,375,9,292,119,813,0,2003,93,83,908,665,32,22,1344,408,125,70,192,1253,23,656,2151,1158,86,257,223,22,49,197,72,3590,44,10718,237,18,364,160,140,1669,277,376,54,271,1431,8,23,397,363,31,176,9,0,0
2020-04-10,0,2,0,42,5,244,11,94,52,1371,547,754,117,137,1167,919,0,122,1465,556,118,1,352,970,26,783,2033,930,96,209,465,11,67,266,0,3561,216,10569,229,9,366,108,1,1751,0,274,89,257,897,247,51,467,480,60,182,9,0,0
2020-04-11,0,3,0,63,1,270,11,281,57,625,311,972,153,118,963,674,23,42,1293,528,122,158,0,761,30,726,1886,1171,91,173,211,12,64,-20,66,3563,10,8678,389,15,372,74,49,1668,622,144,90,241,918,104,32,568,315,3,145,22,0,0
2020-04-12,0,0,0,109,0,346,15,149,52,1089,794,525,146,97,1401,293,34,11,1672,493,77,69,270,581,17,531,2615,639,194,139,161,10,92,134,44,3699,154,8007,216,15,354,102,156,1219,316,109,104,376,654,96,16,197,175,16,128,9,0,0
2020-04-13,0,0,0,6,0,171,5,163,130,1136,384,1346,133,80,1124,863,5,19,1173,431,123,46,55,421,65,711,1392,1391,0,161,246,7,23,154,56,2734,17,6716,316,23,371,99,57,1354,0,71,138,102,598,60,21,473,26,18,87,5,0,0
2020-04-14,0,0,0,20,0,219,8,104,88,1425,259,608,168,103,609,1263,7,38,1223,168,189,51,30,502,37,536,1297,1366,74,145,231,5,83,144,-63,4240,83,7271,227,10,310,115,49,1173,586,162,120,217,731,54,4,435,164,29,127,7,0,0
2020-04-15,0,2,2,51,0,122,8,155,71,1330,6,766,88,139,883,409,13,9,1345,433,96,63,162,433,35,560,1754,1058,114,273,45,5,4,77,217,2206,139,11434,227,24,509,79,30,1288,0,103,180,0,901,131,7,318,143,62,166,5,0,0
2020-04-16,0,0,0,69,0,270,7,273,51,991,330,1129,56,153,832,682,6,114,1141,582,146,111,225,581,26,752,2263,750,0,264,383,11,51,3,0,4287,0,9237,299,28,620,94,73,1505,278,275,143,339,969,135,15,389,115,26,154,9,0,0
2020-04-17,0,1,0,25,0,226,9,274,75,1480,405,925,247,126,1416,1525,11,22,1844,612,191,115,87,586,31,788,2221,1214,261,169,197,7,114,310,148,3150,113,6906,406,0,693,108,49,1630,648,168,100,97,973,110,5,602,460,47,178,9,0,0
2020-04-18,0,0,1,50,2,141,5,213,49,1334,356,741,221,190,733,475,33,46,1582,487,181,91,185,462,20,754,1970,768,139,181,208,4,183,102,55,2953,201,6877,283,135,1115,0,59,1764,314,149,131,326,855,124,24,562,259,10,146,4,0,0
2020-04-19,0,0,0,95,0,176,5,209,37,940,683,412,0,127,822,632,6,13,1197,570,389,84,253,348,20,521,1705,633,147,300,164,7,225,102,48,3881,47,5908,273,57,1380,102,66,1250,215,129,93,481,556,152,10,489,202,105,147,4,0,0
2020-04-20,0,0,0,39,0,191,2,135,192,2255,0,1853,207,134,745,1106,4,4,1156,477,257,143,90,595,8,837,0,576,114,238,147,0,174,102,57,3421,126,5034,294,42,1317,113,47,1012,384,69,50,168,491,144,3,448,136,12,153,4,0,0
2020-04-21,0,0,0,46,0,238,8,188,17,1779,743,545,186,171,810,474,2,64,1546,409,482,116,154,331,13,509,3122,667,97,204,176,4,37,107,43,3665,0,5103,239,17,806,127,47,1335,410,-7,70,156,823,84,2,640,278,6,126,126,0,0
2020-04-22,0,0,0,-46,1,276,6,217,286,1879,418,2109,269,108,440,1333,6,30,2048,341,107,167,174,404,19,582,1745,1299,155,178,211,2,128,144,98,3527,239,4703,361,35,392,87,55,833,341,322,103,0,747,148,5,636,204,31,220,4,0,0
2020-04-23,0,3,0,164,0,239,2,299,323,2217,387,631,108,155,1339,669,4,70,1830,601,176,390,101,481,30,962,3079,1330,220,259,229,3,389,127,82,4111,169,5238,325,30,577,123,68,2297,415,156,98,872,1329,167,2,732,157,42,207,6,0,0
2020-04-24,0,2,0,-140,0,194,2,273,211,1794,978,836,134,167,885,608,5,34,2721,642,521,238,300,401,28,879,4946,1370,243,281,282,2,222,190,50,2171,142,8130,470,39,475,104,50,1829,443,153,84,462,992,170,2,596,224,29,304,20,0,0
2020-04-25,0,0,0,31,1,0,0,241,101,1013,712,647,134,171,306,731,4,17,2119,718,647,176,136,372,0,1150,2379,408,261,284,147,1,295,141,77,3302,139,10553,478,55,418,73,76,945,430,183,107,461,511,166,16,772,342,0,331,18,0,0
2020-04-26,0,0,0,64,2,395,1,248,90,1190,473,686,458,142,693,264,1,10,2126,613,384,142,170,261,50,815,1590,704,156,193,185,3,311,195,67,3540,66,5902,229,64,385,60,58,1463,310,245,65,478,814,175,8,604,202,45,225,11,0,0
2020-04-27,0,0,0,18,0,118,5,191,68,1408,438,728,128,51,606,816,1,0,1980,949,392,196,71,295,8,906,1524,432,209,183,185,1,328,-34,74,2150,99,3951,431,75,353,27,43,942,269,115,32,251,354,113,4,568,165,8,169,18,0,0
2020-04-28,0,0,0,11,0,211,6,230,58,1198,437,315,413,102,710,620,2,55,2219,627,508,179,219,218,17,626,1840,1052,370,248,145,2,159,121,72,2668,149,3110,327,49,444,129,31,1579,219,122,69,134,1036,109,7,801,156,32,208,16,0,0
2020-04-29,0,0,0,33,0,162,4,254,66,2583,442,455,80,112,345,853,4,0,2256,594,467,187,162,374,16,736,1963,1137,463,227,210,0,334,113,48,2509,239,4585,425,42,534,63,61,1190,320,147,60,314,900,152,0,623,228,15,231,9,0,0
2020-04-30,0,4,0,106,9,176,0,446,88,1383,526,933,79,217,497,489,5,32,2560,653,302,574,171,341,39,893,1940,980,492,246,158,2,430,119,88,2287,198,4681,574,34,724,145,64,1644,374,213,76,369,1470,175,4,885,257,15,334,14,0,0
